text,target,sentimiento,vader_compound,score_lexico
"Check out 'Want Twister Tickets AND A VIP EXPERIENCE To See SHANIA? CLICK HERE:' at  http://t.co/3GEROQ49o1
I would Love Love Love!! To win",0,Positivo,0.973,4
@thoutaylorbrown I feel like accidents are just drawn to you but I'm happy you've survived all of them. Hope you're okay!!!,0,Positivo,0.9564,2
TodayÛªs storm will pass; let tomorrowÛªs light greet you with a kiss. Bask in this loving warmth; let your soul return to bliss.,1,Positivo,0.9471,3
@batfanuk we enjoyed the show today. Great fun. The emergency non evacuation was interesting. Have a great run.,0,Positivo,0.9423,4
@batfanuk we enjoyed the show today. Great fun. The emergency non evacuation was interesting. Have a great run.,0,Positivo,0.9423,4
Free Ebay Sniping RT? http://t.co/B231Ul1O1K Lumbar Extender Back Stretcher Excellent Condition!! ?Please Favorite &amp; Share,0,Positivo,0.9376,3
@Raishimi33 :) well I think that sounds like a fine plan where little derailment is possible so I applaud you :),1,Positivo,0.9356,4
I'm not a Drake fan but I enjoy seeing him body-bagging people. Great marketing lol.,0,Positivo,0.9345,2
@duchovbutt @Starbuck_Scully @MadMakNY @davidduchovny yeah we survived 9 seasons and 2 movies. Let's hope for the good. There's hope ??????,0,Positivo,0.9344,1
Super sweet and beautiful :) https://t.co/TUi9uwBvVp,0,Positivo,0.93,3
