ngrama,polaridad,freq_total,freq_desastre,freq_no_desastre,log_odds
disaster,Negativa,158,119,39,1.2223437784735756
emergency,Negativa,158,76,82,0.048696303862551554
crash,Negativa,124,90,34,1.079242934832902
bomb,Negativa,120,91,29,1.2443226851923506
burning,Negativa,120,64,56,0.2550674918665527
suicide,Negativa,117,110,7,2.753820149437964
death,Negativa,113,66,47,0.45722309828854085
attack,Negativa,108,76,32,0.9710293501926692
killed,Negativa,96,93,3,3.280731910955579
dead,Negativa,96,63,33,0.7562540485489762
injury,Negativa,81,27,54,-0.5513971852518013
collapse,Negativa,79,55,24,0.9302073556724142
hostage,Negativa,74,49,25,0.7776579572121298
kill,Negativa,68,55,13,1.5100258509253561
fear,Negativa,68,23,45,-0.5268560763356838
like,Positiva,347,92,255,-0.8888464615208409
love,Positiva,106,11,95,-1.9557100518743702
good,Positiva,89,22,67,-0.9602819994414914
work,Positiva,77,20,57,-0.8921890830175307
best,Positiva,74,20,54,-0.8390792577035823
right,Positiva,73,23,50,-0.6300403125709145
hot,Positiva,66,21,45,-0.6138674533253133
great,Positiva,62,15,47,-0.9748807988626438
top,Positiva,57,16,41,-0.7807247844216865
well,Positiva,51,15,36,-0.7145977005989775
liked,Positiva,44,7,37,-1.4344131282410841
free,Positiva,42,10,32,-0.9748807988626438
survivor,Positiva,41,31,10,1.1915721198068217
hail,Positiva,41,25,16,0.5486146837707316
better,Positiva,36,3,33,-2.016334673690805
