text,target,sentimiento,vader_compound,score_lexico
wreck? wreck wreck wreck wreck wreck wreck wreck wreck wreck wreck wreck wreck?,0,Negativo,-0.9883,-13
"@Abu_Baraa1 Suicide bomber targets Saudi mosque at least 13 dead - Suicide bomber targets Saudi mosque at least 13 dead
This is ridiculous",1,Negativo,-0.9686,-5
Suicide bomber kills 15 in Saudi security site mosque - A suicide bomber killed at least 15 people in an attack on... http://t.co/FY0r9o7Xsl,1,Negativo,-0.9623,-5
? 19th Day Since 17-Jul-2015 -- Nigeria: Suicide Bomb Attacks Killed 64 People; Blamed: Boko Haram [L.A. Times/AP] | http://t.co/O2cdKpSDfp,1,Negativo,-0.9595,-4
"17 killed in SÛªArabia mosque suicide bombing

A suicide bomber attacked a mosque in Aseer south-western Saudi... http://t.co/pMTQhiVsXX",1,Negativo,-0.9552,-3
"at the lake 
*sees a dead fish*
me: poor little guy i wonder what happened
ashley: idk maybe it drowned
  wtf ????????",0,Negativo,-0.9549,-1
illegal alien released by Obama/DHS 4 times Charged With Rape &amp; Murder of Santa Maria CA Woman Had Prior Offenses  http://t.co/MqP4hF9GpO,1,Negativo,-0.9538,-3
Bomb Crash Loot Riot Emergency Pipe Bomb Nuclear Chemical Spill Gas Ricin Leak Violence Drugs Cartel Cocaine Marijuana Heroine Kidnap Bust,1,Negativo,-0.9524,-6
Bomb head? Explosive decisions dat produced more dead children than dead bodies trapped tween buildings on that day in September there,1,Negativo,-0.95,-5
@cspan #Prez. Mr. President you are the biggest terrorist and trouble maker in the world. You create terrorist you sponsor terrorist.,1,Negativo,-0.9493,-1
